,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
CONTADURÍA GENERAL DE LA NACIÓN,"PARAGUAY  1429 ESQ. COLONIA, Montevideo, Uruguay","-34,9055016","-56,1851147",41
ESCUELA TALLER Nº 259,"YÍ 1573 ESQ. CERRO LARGO, Montevideo, Uruguay","-34,9010471","-56,189617",42
BPS  HISTORIA LABORAL,"SARANDÍ 332 ESQ. ALZAIBAR, Montevideo, Uruguay","-34,9088231","-56,2081092",43
AEBU  LOCAL CENTRAL,"CAMACUÁ 575 ESQ. RECONQUISTA, Montevideo, Uruguay","-34,9090594","-56,202448",44
AEBU  LOCAL CENTRAL,"CAMACUÁ 575 ESQ. RECONQUISTA, Montevideo, Uruguay","-34,9090594","-56,202448",45
COLEGIO NUESTRA SEÑORA DEL HUERTO,"SAN JOSÉ 990 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9072192","-56,1949439",46
COLEGIO NUESTRA SEÑORA DEL HUERTO,"SAN JOSÉ 990 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9072192","-56,1949439",47
COLEGIO NUESTRA SEÑORA DEL HUERTO,"SAN JOSÉ 990 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9072192","-56,1949439",48
COLEGIO NUESTRA SEÑORA DEL HUERTO,"SAN JOSÉ 990 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9072192","-56,1949439",49
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",50
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",51
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",52
IGLESIA PENTECOSTAL DIOS ES AMOR,"CAGANCHA   1129 ESQ. AV. GRAL. RONDEAU, Montevideo, Uruguay","-34,9057325","-56,1913804",53
IGLESIA PENTECOSTAL DIOS ES AMOR,"CAGANCHA   1129 ESQ. AV. GRAL. RONDEAU, Montevideo, Uruguay","-34,9057325","-56,1913804",54
IGLESIA PENTECOSTAL DIOS ES AMOR,"CAGANCHA   1129 ESQ. AV. GRAL. RONDEAU, Montevideo, Uruguay","-34,9057325","-56,1913804",55
COLEGIO INMACULADA CONCEPCIÓN,"MERCEDES 984 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9061302","-56,1946949",56
COLEGIO INMACULADA CONCEPCIÓN,"MERCEDES 984 ESQ. JULIO HERRERA Y OBES, Montevideo, Uruguay","-34,9061302","-56,1946949",57
INMACULADO CORAZON DE MARÍA ADORATRICES,"MERCEDES 1383 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",58
INMACULADO CORAZON DE MARÍA ADORATRICES,"MERCEDES 1383 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",59
INMACULADO CORAZON DE MARÍA ADORATRICES,"MERCEDES 1383 ESQ. EJIDO, Montevideo, Uruguay","-34,9055016","-56,1851147",60
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",61
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",62
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",63
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",64
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",65
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",66
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",67
ESCUELA Nº 2  Nº 269 ,"COLONIA 1194 ESQ. CUAREIM, Montevideo, Uruguay","-34,9049614","-56,1906788",68
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"COLONIA   1116 ESQ. PARAGUAY, Montevideo, Uruguay","-34,9051003","-56,1922172",69
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"COLONIA   1116 ESQ. PARAGUAY, Montevideo, Uruguay","-34,9051003","-56,1922172",70
I.M.P.O.,"AV. 18 DE JULIO  1373 ESQ. EJIDO, Montevideo, Uruguay","-34,9054194","-56,1865191",71
I.M.P.O.,"AV. 18 DE JULIO  1373 ESQ. EJIDO, Montevideo, Uruguay","-34,9054194","-56,1865191",72
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",73
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",74
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",75
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",76
INTENDENCIA DE MONTEVIDEO  ATRIO,"AV. 18 DE JULIO  1360  ESQ. EJIDO, Montevideo, Uruguay","-34,9062173","-56,1859978",77
