,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay",#ERROR!,,628
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay",#ERROR!,,629
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay","-34,8787807","-56,153908",630
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay",#ERROR!,,631
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay","-34,8787807","-56,153908",632
ESCUELA Nº 80  Nº 28 ,"MONTE CASEROS 3198 ESQ. AV. DR. LUIS A. DE HERRERA, Montevideo, Uruguay",#ERROR!,,633
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776625","-56,1456798",634
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,635
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,636
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776625","-56,1456798",637
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,638
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776625","-56,1456798",639
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776625","-56,1456798",640
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,641
ESCUELA Nº 19  Nº 76 ,"AV. 8 DE OCTUBRE  3515 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776625","-56,1456798",642
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,643
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776177","-56,1455713",644
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,645
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,646
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay","-34,8776177","-56,1455713",647
ESCUELA Nº 20 ,"AV. 8 DE OCTUBRE 3545 ESQ. FELIPE SANGUINETTI, Montevideo, Uruguay",#ERROR!,,648
POLICLÍNICA YUCATÁN,"TOMÁS CLARAMUNT  3749 ESQ. GOBERNADOR VIANA, Montevideo, Uruguay",#ERROR!,,649
POLICLÍNICA YUCATÁN,"TOMÁS CLARAMUNT  3749 ESQ. GOBERNADOR VIANA, Montevideo, Uruguay",#ERROR!,,650
POLICLÍNICA YUCATÁN,"TOMÁS CLARAMUNT  3749 ESQ. GOBERNADOR VIANA, Montevideo, Uruguay",#ERROR!,,651
POLICLÍNICA YUCATÁN,"TOMÁS CLARAMUNT  3749 ESQ. GOBERNADOR VIANA, Montevideo, Uruguay",#ERROR!,,652
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,653
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,654
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,655
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay","-34,8886318","-56,0894718",656
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay","-34,8886318","-56,0894718",657
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,658
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay","-34,8886318","-56,0894718",659
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,660
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,661
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,662
ESCUELA Nº 89 ,"ALGARROBO 3719 ESQ. ING. JOSÉ SERRATO, Montevideo, Uruguay",#ERROR!,,663
LICEO Nº 64,"PARMA  3026 ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,664
LICEO Nº 64,"PARMA  3026 ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay","-34,8645147","-56,1520179",665
LICEO Nº 64,"PARMA  3026 ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,666
LICEO Nº 64,"PARMA  3026 ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,667
ANTEL ARENA  PUERTA S Y G,"AV. JOSÉ PEDRO VARELA S/N ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,668
ANTEL ARENA  PUERTA S Y G,"AV. JOSÉ PEDRO VARELA S/N ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,669
ANTEL ARENA  PUERTA S Y G,"AV. JOSÉ PEDRO VARELA S/N ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay","-34,8645147","-56,1520179",670
ANTEL ARENA  PUERTA S Y G,"AV. JOSÉ PEDRO VARELA S/N ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,671
ANTEL ARENA  PUERTA S Y G,"AV. JOSÉ PEDRO VARELA S/N ESQ. AV. DÁMASO ANTONIO LARRAÑAGA, Montevideo, Uruguay",#ERROR!,,672
CENTRO EDUCATIVO PRIMARIO ADVENTISTA,"ING. JOSÉ SERRATO 3630 ESQ. BRUSELAS, Montevideo, Uruguay","-34,8550114","-56,159601",673
CENTRO EDUCATIVO PRIMARIO ADVENTISTA,"ING. JOSÉ SERRATO 3630 ESQ. BRUSELAS, Montevideo, Uruguay","-34,8550114","-56,159601",674
CENTRO EDUCATIVO PRIMARIO ADVENTISTA,"ING. JOSÉ SERRATO 3630 ESQ. BRUSELAS, Montevideo, Uruguay",#ERROR!,,675
COLEGIO REGINA MARTYRUM  PRIMARIA,"ING. JOSÉ SERRATO 3536 ESQ. CORUMBÉ, Montevideo, Uruguay",#ERROR!,,676
COLEGIO REGINA MARTYRUM  PRIMARIA,"ING. JOSÉ SERRATO 3536 ESQ. CORUMBÉ, Montevideo, Uruguay",#ERROR!,,677
COLEGIO REGINA MARTYRUM  PRIMARIA,"ING. JOSÉ SERRATO 3536 ESQ. CORUMBÉ, Montevideo, Uruguay","-34,8561241","-56,1560366",678
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,679
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,680
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,681
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay","-34,8962476","-56,1223489",682
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,683
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay","-34,8962476","-56,1223489",684
COLEGIO SANTA ELENA,"JUAN MANUEL ESPINOSA  S/N ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,685
SAINT GEORGE'S SCHOOL ,"DONIZETTI 1353 ESQ. VERDI, Montevideo, Uruguay",#ERROR!,,686
SAINT GEORGE'S SCHOOL ,"DONIZETTI 1353 ESQ. VERDI, Montevideo, Uruguay",#ERROR!,,687
SAINT GEORGE'S SCHOOL ,"DONIZETTI 1353 ESQ. VERDI, Montevideo, Uruguay",#ERROR!,,688
SAINT GEORGE'S SCHOOL ,"DONIZETTI 1353 ESQ. VERDI, Montevideo, Uruguay",#ERROR!,,689
JARDÍN DE INFANTES Nº 221,"AV. GRAL RIVERA 4282 ESQ. ARRASCAETA, Montevideo, Uruguay",#ERROR!,,690
JARDÍN DE INFANTES Nº 221,"AV. GRAL RIVERA 4282 ESQ. ARRASCAETA, Montevideo, Uruguay",#ERROR!,,691
JARDÍN DE INFANTES Nº 221,"AV. GRAL RIVERA 4282 ESQ. ARRASCAETA, Montevideo, Uruguay","-34,895615","-56,1206331",692
JARDÍN DE INFANTES Nº 221,"AV. GRAL RIVERA 4282 ESQ. ARRASCAETA, Montevideo, Uruguay","-34,895615","-56,1206331",693
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay","-34,8939088","-56,1246092",694
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,695
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay","-34,8939088","-56,1246092",696
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,697
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,698
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,699
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay","-34,8939088","-56,1246092",700
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,701
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,702
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,703
ESCUELA Nº 72 ,"PÉREZ GOMAR 4219 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,704
ESCUELA Nº 60 ,"SOLFERINO 4069 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,705
ESCUELA Nº 60 ,"SOLFERINO 4069 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay","-34,8878162","-56,1278697",706
ESCUELA Nº 60 ,"SOLFERINO 4069 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay","-34,8878162","-56,1278697",707
ESCUELA Nº 60 ,"SOLFERINO 4069 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,708
ESCUELA Nº 60 ,"SOLFERINO 4069 ESQ. AV. MARISCAL FCO. SOLANO LÓPEZ, Montevideo, Uruguay",#ERROR!,,709
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8875807","-56,1207903",710
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8875807","-56,1207903",711
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,712
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,713
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,714
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,715
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,716
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8875807","-56,1207903",717
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,718
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,719
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,720
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8875807","-56,1207903",721
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,722
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,723
LICEO Nº 10,"MATAOJO  1862  ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8875807","-56,1207903",724
POLICLÍNICO COSEM MALVÍN,"AV. ITALIA 4206 ESQ. MARISCALA, Montevideo, Uruguay","-34,8875171","-56,1198369",725
POLICLÍNICO COSEM MALVÍN,"AV. ITALIA 4206 ESQ. MARISCALA, Montevideo, Uruguay",#ERROR!,,726
POLICLÍNICO COSEM MALVÍN,"AV. ITALIA 4206 ESQ. MARISCALA, Montevideo, Uruguay",#ERROR!,,727
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8857677","-56,1003215",728
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,729
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,730
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,731
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,732
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8857677","-56,1003215",733
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay",#ERROR!,,734
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8857677","-56,1003215",735
ESCUELA Nº 172 ,"CALDAS 1721 ESQ. AV. ITALIA, Montevideo, Uruguay","-34,8857677","-56,1003215",736
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,737
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay","-34,8895617","-56,1142767",738
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,739
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,740
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,741
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,742
IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,"DALMIRO COSTA  4635  ESQ. CALDAS, Montevideo, Uruguay",#ERROR!,,743
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM  1483  ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,744
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM  1483  ESQ. VELSEN, Montevideo, Uruguay","-34,9055016","-56,1851147",745
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM  1483  ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,746
COLEGIO Y LICEO GABRIELA MISTRAL,"AV. COLOMBES  1384  ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,747
COLEGIO Y LICEO GABRIELA MISTRAL,"AV. COLOMBES  1384  ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,748
COLEGIO Y LICEO GABRIELA MISTRAL,"AV. COLOMBES  1384  ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,749
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM 1469 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,750
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM 1469 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,751
COLEGIO Y LICEO GABRIELA MISTRAL,"AMSTERDAM 1469 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,752
COLEGIO SAGRADA FAMILIA HERMANAS URSULINAS,"AV. ESTANISLAO LÓPEZ 4568 ESQ. CANDELARIA, Montevideo, Uruguay","-34,8882875","-56,110553",753
COLEGIO SAGRADA FAMILIA HERMANAS URSULINAS,"AV. ESTANISLAO LÓPEZ 4568 ESQ. CANDELARIA, Montevideo, Uruguay",#ERROR!,,754
COLEGIO SAGRADA FAMILIA HERMANAS URSULINAS,"AV. ESTANISLAO LÓPEZ 4568 ESQ. CANDELARIA, Montevideo, Uruguay",#ERROR!,,755
COLEGIO DEL SUR,"AV. COLOMBES 1340 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,756
COLEGIO DEL SUR,"AV. COLOMBES 1340 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,757
COLEGIO DEL SUR,"AV. COLOMBES 1340 ESQ. VELSEN, Montevideo, Uruguay",#ERROR!,,758
COLEGIO Y LICEO NUESTRA SEÑORA DE LOURDES NIVEL INICIAL ,"AMAZONAS  1586 ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,759
COLEGIO Y LICEO NUESTRA SEÑORA DE LOURDES NIVEL INICIAL ,"AMAZONAS  1586 ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay",#ERROR!,,760
COLEGIO Y LICEO NUESTRA SEÑORA DE LOURDES NIVEL INICIAL ,"AMAZONAS  1586 ESQ. AV. GRAL. RIVERA, Montevideo, Uruguay","-34,8909668","-56,1062246",761
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,762
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,763
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,764
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,765
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay","-34,9055016","-56,1851147",766
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay","-34,9055016","-56,1851147",767
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,768
ESCUELA TÉCNICA MALVÍN NORTE,"MALLORCA 15 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,769
JARDÍN BETÚM DETI,"PALMAS DE MALLORCA 4472 ESQ. MATAOJO, Montevideo, Uruguay",#ERROR!,,770
JARDÍN BETÚM DETI,"PALMAS DE MALLORCA 4472 ESQ. MATAOJO, Montevideo, Uruguay","-34,8775858","-56,1193302",771
JARDÍN BETÚM DETI,"PALMAS DE MALLORCA 4472 ESQ. MATAOJO, Montevideo, Uruguay",#ERROR!,,772
JARDÍN BETÚM DETI,"PALMAS DE MALLORCA 4472 ESQ. MATAOJO, Montevideo, Uruguay","-34,8775858","-56,1193302",773
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",774
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",775
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay",#ERROR!,,776
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay",#ERROR!,,777
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay",#ERROR!,,778
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",779
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",780
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",781
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",782
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",783
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay","-34,8748903","-56,1205665",784
ESCUELA Nº 268 ,"EMILIO CASTELAR 4510 ESQ. ROBERTO BERRO, Montevideo, Uruguay",#ERROR!,,785
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,786
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,787
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,788
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,789
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,790
ESCUELA VICMAN,"CNO. CARRASCO 4570 ESQ. PIRÁN, Montevideo, Uruguay",#ERROR!,,791
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,8743558","-56,1356625",792
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,793
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,794
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,8743558","-56,1356625",795
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,8743558","-56,1356625",796
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,797
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,798
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,8743558","-56,1356625",799
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,800
ESCUELA Nº 44,"GRAL. FÉLIX LABORDE 2439 ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,801
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,802
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,875282","-56,1371",803
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay","-34,875282","-56,1371",804
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,805
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,806
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,807
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,808
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,809
COLEGIO Y LICEO SANTA LUISA DE MARILLAC,"LARRAVIDE  2406  ESQ. JOSÉ ANTONIO CABRERA, Montevideo, Uruguay",#ERROR!,,810
